URLLength,Domain,DomainLength,IsDomainIP,TLD,TLDLength,NoOfSubDomain,HasObfuscation,NoOfLettersInURL,NoOfDegitsInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,URLTitleMatchScore,IsResponsive,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasHiddenFields,Bank,Pay,Crypto,label
14,6a01r.net,19,0,,2,1,0,42,3,0,0,1,1,1,2,23,1,40,0,0,0,1,0,1,0,0,0,0,1
68,ek1rn.info,17,0,,2,0,0,23,0,0,0,0,1,1,2,92660,1,100,1,0,0,0,0,0,1,0,1,0,0
44,2sdqs1gszmhqy7k.net,26,0,,3,1,0,0,8,0,0,0,6,1,2,104555,1,0,0,0,0,2,0,1,1,0,1,0,1
14,xoxbv8y.biz,32,0,,4,0,0,16,0,0,0,0,1,1,2,23,1,100,0,0,1,2,0,0,0,0,0,0,1
15,moh4h.info,6,0,,2,0,0,13,0,0,0,0,1,1,926,80044,1,33,0,1,1,0,0,1,0,0,0,0,0
90,406no.net,7,0,,2,0,0,0,8,0,0,0,1,0,7498,23,1,0,1,1,0,0,0,0,1,0,0,0,1
14,uj1mt81.biz,29,0,,2,1,0,0,6,0,0,0,1,1,2,4885,1,96,1,1,0,5,0,0,0,1,0,0,0
20,r7uwb35cipjlaod.xyz,17,0,,2,0,0,52,20,0,0,0,1,1,2,23,0,24,0,0,0,3,0,0,1,0,1,0,0
77,0qtpzrxjetkmwwa.info,7,0,,2,1,0,17,20,0,0,0,1,1,312,9489,1,25,0,1,0,0,0,1,0,0,1,0,0
14,56aswt.org,14,0,,3,1,0,48,3,0,0,0,6,1,1435,23,1,93,1,0,0,0,0,0,1,0,0,0,0
14,feyymsr.xyz,28,0,,3,1,0,51,0,0,0,0,3,1,289,7897,1,38,1,1,1,0,0,0,0,0,0,0,1
31,z56odsd35p.org,31,0,,2,0,0,0,0,0,0,1,4,0,2901,150075,1,33,1,1,0,1,0,0,0,0,0,0,0
85,bas5au8gqg73ne.net,14,0,,2,2,0,0,10,0,0,0,5,1,3659,23,1,44,1,0,0,8,1,1,0,1,0,0,1
14,oaoazg.org,31,0,,2,1,0,20,0,0,0,0,1,1,2,23,1,100,1,1,0,3,0,1,0,0,0,0,1
20,ozvi9va141h0.xyz,22,0,,2,0,0,0,0,0,0,0,5,0,2,366978,1,16,1,1,1,0,0,0,1,1,0,0,1
20,qm6o455wo.net,17,0,,2,1,0,0,15,0,0,0,1,1,1672,10560,1,40,0,1,1,0,0,1,0,1,0,0,1
